nominee_label,acting_noms,editing_nom,music_noms,technical_noms,other_noms,dga_winner,pga_winner,globe_winner,previous_wins_any,num_producers,runtime,rated_R,rated_PG13,rated_PG,genre_action,genre_fantasy,genre_romance,genre_science_fiction,genre_war,num_wikidata_awards,country_us
Anne Cathrine Sauerberg (The Ugly Stepsister),-0.029688546195058296,-0.003154039498232465,-0.005172627680413863,0.0012933698739516994,-0.06704355396187602,0.004482527042200139,0.0025731796654802973,-0.04202999955510194,0.000362724852303838,-0.0011245256535678423,-0.007459716123445966,-0.00013385483478426093,0.0012022135400019344,-0.002236136136210697,-0.007765073597860947,-0.002241353980209195,0.0028195316287164627,-0.003779514712524234,0.001340864082710608,0.00025797191097280914,-0.0003437607578932767
Bjoern Rehbein (The Smashing Machine),-0.029688546195058296,-0.003154039498232465,-0.005172627680413863,0.0012933698739516994,-0.06704355396187602,0.004482527042200139,0.0025731796654802973,-0.04202999955510194,0.000362724852303838,-0.0011245256535678423,-0.007459716123445966,-0.00013385483478426093,0.0012022135400019344,-0.002236136136210697,-0.007765073597860947,-0.002241353980209195,0.0028195316287164627,-0.003779514712524234,0.001340864082710608,0.00025797191097280914,-0.0003437607578932767
Cliona Furey (Frankenstein),0.0015203924914610506,-0.005953334773436299,0.01822745916267983,-0.028479132460090997,0.029226730284619414,0.007353492990940568,0.004565919009359077,-0.03412865872726919,-0.0026441254192202312,0.0002526921649595471,-0.02411089164140142,-0.0182662422961181,0.0038601791082152246,-0.0030964289264626133,-0.01328290030088207,0.04439851528032771,0.0038292459721536347,-0.0048325904764512815,0.0018033175861272043,-0.11500645143897961,-0.0005429848258356198
Glen Griffin (The Smashing Machine),-0.029688546195058296,-0.003154039498232465,-0.005172627680413863,0.0012933698739516994,-0.06704355396187602,0.004482527042200139,0.0025731796654802973,-0.04202999955510194,0.000362724852303838,-0.0011245256535678423,-0.007459716123445966,-0.00013385483478426093,0.0012022135400019344,-0.002236136136210697,-0.007765073597860947,-0.002241353980209195,0.0028195316287164627,-0.003779514712524234,0.001340864082710608,0.00025797191097280914,-0.0003437607578932767
Jordan Samuel (Frankenstein),0.0015203924914610506,-0.005953334773436299,0.01822745916267983,-0.028479132460090997,0.029226730284619414,0.007353492990940568,0.004565919009359077,-0.03412865872726919,-0.0026441254192202312,0.0002526921649595471,-0.02411089164140142,-0.0182662422961181,0.0038601791082152246,-0.0030964289264626133,-0.01328290030088207,0.04439851528032771,0.0038292459721536347,-0.0048325904764512815,0.0018033175861272043,-0.11500645143897961,-0.0005429848258356198
Kazu Hiro (The Smashing Machine),-0.029688546195058296,-0.003154039498232465,-0.005172627680413863,0.0012933698739516994,-0.06704355396187602,0.004482527042200139,0.0025731796654802973,-0.04202999955510194,0.000362724852303838,-0.0011245256535678423,-0.007459716123445966,-0.00013385483478426093,0.0012022135400019344,-0.002236136136210697,-0.007765073597860947,-0.002241353980209195,0.0028195316287164627,-0.003779514712524234,0.001340864082710608,0.00025797191097280914,-0.0003437607578932767
Ken Diaz (Sinners),0.027385647597263793,0.00206340237679461,0.019605504890576345,-0.058352355589647895,-0.02214452808626697,0.010519071049390556,0.00421327077381786,-0.006483946945624358,0.002874438781045957,0.0013654711409734105,-0.02006848366642596,0.0003422968261042965,0.0041685032393252806,-0.0027930825649115656,0.14266050192800028,-0.006120338903438766,0.004863880284228013,-0.006583166797664067,0.0022418242701171247,-0.0841916601551587,-1.1896302842162473e-05
Kyoko Toyokawa (Kokuho),-0.029688546195058296,-0.003154039498232465,-0.005172627680413863,0.0012933698739516994,-0.06704355396187602,0.004482527042200139,0.0025731796654802973,-0.04202999955510194,0.000362724852303838,-0.0011245256535678423,-0.007459716123445966,-0.00013385483478426093,0.0012022135400019344,-0.002236136136210697,-0.007765073597860947,-0.002241353980209195,0.0028195316287164627,-0.003779514712524234,0.001340864082710608,0.00025797191097280914,-0.0003437607578932767
Mike Fontaine (Sinners),0.027385647597263793,0.00206340237679461,0.019605504890576345,-0.058352355589647895,-0.02214452808626697,0.010519071049390556,0.00421327077381786,-0.006483946945624358,0.002874438781045957,0.0013654711409734105,-0.02006848366642596,0.0003422968261042965,0.0041685032393252806,-0.0027930825649115656,0.14266050192800028,-0.006120338903438766,0.004863880284228013,-0.006583166797664067,0.0022418242701171247,-0.0841916601551587,-1.1896302842162473e-05
Mike Hill (Frankenstein),0.0015203924914610506,-0.005953334773436299,0.01822745916267983,-0.028479132460090997,0.029226730284619414,0.007353492990940568,0.004565919009359077,-0.03412865872726919,-0.0026441254192202312,0.0002526921649595471,-0.02411089164140142,-0.0182662422961181,0.0038601791082152246,-0.0030964289264626133,-0.01328290030088207,0.04439851528032771,0.0038292459721536347,-0.0048325904764512815,0.0018033175861272043,-0.11500645143897961,-0.0005429848258356198
