nominee_label,nominee_previous_noms_max,genre_science_fiction,pga_winner,dga_winner,directing_nom
Bugonia,-0.07000036417290155,-0.15783168107342171,-0.05152181256497204,-0.11910631668449496,-0.16341374461750513
F1,-0.11727129102010576,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,-0.16341374461750513
Frankenstein,-0.04242565684536577,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,-0.16341374461750513
Hamnet,-0.337868949640392,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,0.08418283813629052
Marty Supreme,-0.03060792513356472,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,0.08418283813629052
One Battle After Another,-0.07000036417290155,0.01007436262170777,0.5209427714902728,0.6749357945454711,0.08418283813629052
Sentimental Value,0.028480733425440528,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,0.08418283813629052
Sinners,0.016663001713639478,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,0.08418283813629052
The Secret Agent,0.03241997732937421,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,-0.16341374461750513
Train Dreams,0.012723757809705794,0.01007436262170777,-0.05152181256497204,-0.11910631668449496,-0.16341374461750513
